,Topic,Context
10,Có được phép đổi môn tự chọn đã fail?,"Sinh viên được phép đổi môn học tự chọn đã fail trước đó bằng cách nộp phí học lại môn thay thế (phí học lại theo quy định tài chính), đồng thời làm đơn trên FAP. Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác: Trình bày nguyện vọng muốn đăng ký môn học tự chọn thay thế => Send. Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
11,Sinh viên được miễn điểm danh khi nào?,"Sinh viên được miễn điểm danh khi đáp ứng được các điều kiện sau đây:  + Sau giai đoạn OJT (Sau kỳ 6 chuyên ngành trở đi)  + Có hợp đồng lao động full time với công ty có tư cách pháp nhân; thời hạn trên hợp đồng phải kéo dài toàn bộ học kỳ  + Tùy theo từng trường hợp phòng Quản lý đào tạo sẽ yêu cầu thêm 1 số giấy tờ bổ sung khác Thời gian làm thủ tục xin miễn điểm danh theo thông báo của phòng Đào tạo  Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị miễn điểm danh: Tải template => Giải nén => Chọn mẫu đơn 3 chấm => Điền thông tin vào đơn, đồng thời dán trực tiếp ảnh chụp hợp đồng lao động (tất cả các mặt) và giấy tờ khác (nếu có) => Đính kèm file => Send.  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2-4 ngày làm việc."
12,Quyền lợi và trách nhiệm của sinh viên khi được miễn điểm danh?,Quyền lợi: Không bị áp yêu cầu tham gia tối thiểu 80% số buổi để xét điều kiện thi cuối kỳ  Trách nhiệm: Sinh viên cần trao đổi với giảng viên về những buổi học cần phải có mặt trên lớp để đảm bảo kiến thức và các đầu điểm thành phần.
13,Cách thức xử lý khi bị điểm danh sai?,"- Với các môn học LUK: làm đơn khiếu nại điểm danh trên FAP trong vòng 2 ngày kể từ ngày diễn ra buổi học, cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đơn đề nghị kiểm tra trạng thái điểm danh LUK: Trình bày chi tiết thông tin buổi học bị điểm danh nhầm và các minh chứng (nếu có) => Send. Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc.   - Với các môn học không báo gồm LUK: Báo ngay với giảng viên trước 24h trong ngày diễn ra buổi học. Trường hợp đã báo cáo đúng thời hạn nhưng vẫn không được thay đổi, sinh viên có thể làm đơn khiếu nại điểm danh để được Nhà trường hỗ trợ xử lý, cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đơn khiếu nại điểm danh: Trình bày nội dung cần khiếu nại => Send. Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
14,"Sinh viên đã nghỉ hết 20% số buổi, sau đó gặp trường hợp bất khả kháng bị nghỉ quá 1 buổi có đủ điều kiện dự thi cuối kỳ không ?","- Không. Theo quy định, mỗi sinh viên có 20% số buổi là để sử dụng các trường hợp bất khả kháng không thể tham gia buổi học, do đó sinh viên nên để dành 20% này để dự phòng cho các trường hợp thực sự cần thiết."
15,Sinh viên muốn làm đơn đề nghị một vấn đề không có trong danh mục đơn từ thì phải làm thế nào?,"Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác => Trình bày nội dung vào đơn => Send.  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
16,Điều kiện để được đi OJT là gì?,Sinh viên hoàn thành tối thiểu 90% tổng số tín chỉ các môn học theo khung chương trình từ kỳ 1 đến kỳ 5 chuyên ngành.
17,Sinh viên có bắt buộc phải đi OJT tại đơn vị Nhà trường giới thiệu?,"Sinh viên không bắt buộc phải đi OJT theo đơn vị Nhà trường giới thiệu mà có thể tự liên hệ đơn vị OJT, tuy nhiên các đơn vị này cần phải được Nhà trường thẩm định đạt yêu cầu."
18,Điểm đánh giá OJT có tính vào điểm GPA ?,Điểm đánh giá OJT chỉ sử dụng để xét qua môn chứ không tính vào điểm GPA.
19,"Sinh viên đã học các môn học tương tự tại một trường khác, vậy các môn này có được công nhận tại Đại học FPT?","Ngoài một số môn học không được phép chuyển đổi (Khóa luận tốt nghiệp, Rèn luyện tập trung, Giáo dục thể chất), sinh viên có thể làm đơn để được Nhà trường xem xét chuyển đổi các môn học đã học tại các cơ sở đào tạo khác, tuy nhiên số tính chỉ được công nhận tối đa từ trường khác sang ĐH FPT là 50% so với tổng số tín chỉ cần đạt theo khung chương trình. Đồng thời sinh viên sẽ mất phí công nhận chuyển đổi là 20% biểu phí môn học. Sau khi có quyết định công nhận, sinh viên có thể làm đơn xin hoàn tiền những môn đã được công nhận về tài khoản học phí.  Cách thức làm đề nghị công nhận như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển đổi tín chỉ => Đính kèm syllabus (đề cương môn học) của môn xin công nhận do Trường - nơi sinh viên đã học - cung cấp => Send.  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 tuần."
20,Những môn học nào không được tính vào điểm GPA?,"- GDQP, GDTC, OJT, các học phần Tiếng Anh chuẩn bị, các học phần được công nhận chuyển đổi."
21,"Sinh viên chuyển ngành, chuyển cơ sở có phải thay đổi mã số sinh viên?","Sinh viên chuyển ngành, chuyển cơ sở được giữ nguyên mã số sinh viên."
22,Thủ tục chuyển ngành ?," Chuyển ngành cùng khối ngành; chuyển chuyên ngành trong cùng ngành (trừ BIT_GD sang chuyên ngành khác trong BIT hoặc ngược lại); chuyển combo chuyên sâu: Sinh viên học lên kỳ bình thường, các môn chuyên ngành đã học thừa ở khung cũ mà khung mới không có, sinh viên cần đóng phí học thừa môn (áp dụng mức phí tại thời điểm chuyển).  - Chuyển ngành khác khối; chuyển chuyên ngành BIT_GD sang chuyên ngành khác trong BIT hoặc ngược lại: Sinh viên học từ kỳ 1 của khung mới. Các môn chuyên ngành đã học thừa ở khung cũ mà khung mới không có, sinh viên cần đóng phí học thừa môn (áp dụng mức phí tại thời điểm chuyển). Sinh viên được bảo lưu số kỳ học phí đã đóng ở ngành cũ. Sinh viên chuyển ngành khác khối không được duy trìi học bổng.  VD: Sinh viên học xong kỳ 3 ngành BIT_SE chuyển sang BBA_MC: Phải đóng phí thừa các môn chuyên ngành đã học ở BIT_SE mà ngành BBA_MC không có. Sinh viên được bảo lưu số kỳ học phí đã đóng ở ngành cũ, vì vậy đến kỳ 4 ngành BBA_MC sinh viên mới cần đóng tiếp học phí.  Lệ phí chuyển ngành: 2,300,000đ  Thời hạn làm thủ tục: Muộn nhất trước khi học kỳ mới bắt đầu 4 tuần  Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển ngành => Send.  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận thông báo khoản phí thừa môn cần nộp và confirm về việc đồng ý chuyển ngành."
23,Thủ tục chuyển cơ sở?,"- Sinh viên có thể xin chuyển sang học tại các cơ sở/phân hiệu khác của Đại học FPT nếu cơ sở đó đồng ý tiếp nhận. Khi được duyệt đề nghị chuyển cơ sở, sinh viên sẽ nộp học phí theo mức phí áp dụng tại cơ sở chuyển đến. Sinh viên được giữ nguyên tín dụng/học bổng (nếu có) khi chuyển cơ sở  Thời hạn làm thủ tục: Muộn nhất trước khi học kỳ mới bắt đầu 4 tuần  Cách thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển cơ sở => Send  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 1 tuần đến 10 ngày."
24,Thời hạn tối đa để hoàn thành chương trình học Đại học?,"Sinh viên có tối đa 6 năm kể từ thời điểm bắt đầu học kỳ 1 chuyên ngành để hoàn thành chương trình học Đại học. Nếu quá thời hạn trên, sinh viên sẽ bị cho thôi học."
25,Sinh viên có được cùng lúc học song song 2 chuyên ngành?,"Sinh viên được học song song 2 chuyên ngành. Thời hạn đăng ký: Muộn nhất trước khi học kỳ mới bắt đầu 3 tuần Cách thức đăng ký: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác => Trình bày nguyện vọng => Send  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 1 tuần đến 10 ngày."
26,Sinh viên được chuyển từ học Võ sang học Cờ trong trường hợp nào?,"Học phần Giáo dục thể chất bắt buộc của Đại học FPT là Vovinam, nếu sinh viên có các vấn đề về sức khỏe và có khuyến các của bác sĩ về việc hạn chế vận động thì có thể làm đơn để được Nhà trường xem xét chuyển sang học Cờ  Thời hạn để làm đơn: Muộn nhất trước khi học kỳ mới bắt đầu 1 tuần  Các thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển từ học Võ sang học Cờ => Trình bày nguyện vọng và Đính kèm hồ sơ bệnh án của bệnh viện => Send  Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
27,Thời gian nhận bằng Tốt nghiệp ?,Sinh viên được nhận bằng Tốt nghiệp sau 30 ngày kể từ thời điểm có quyết định công nhận Tốt nghiệp. Sinh viên sẽ nhận bằng trực tiếp tại Trường (theo hướng dẫn trong thông báo nhận bằng).
28,Nhà trường có cấp giấy xác nhận tốt nghiệp tạm thời?,"Trong thời gian đợi cấp bằng Tốt nghiệp, Nhà trường không cấp giấy xác nhận tốt nghiệp tạm thời mà chỉ cấp giấy xác nhận tình trạng đã hoàn thành chương trình học (cho những sinh viên có nhu cầu), thủ tục giống như đối với đề nghị Xác nhận sinh viên (trong phần mục đích nêu rõ xin xác nhận đã hoàn thành chương trình học)."
29,Wishlist là gì?,"Wishlist là danh sách chờ, khi sinh viên đăng ký học lại nhưng lớp đã full hoặc không mở lớp trong kỳ thì hệ thống sẽ gợi ý sinh viên có thể đăng ký vào danh sách chờ để được ưu tiên xếp lớp trong lần mở lớp tiếp theo. Đồng thời khi đăng ký vào wishlist sinh viên sẽ được áp dụng mức phí học lại theo quy định tài chính tại thời điểm đăng ký.  Sau khi đã đăng ký wishlish, nếu vì lý do cá nhân sinh viên muốn hủy đăng ký sẽ chỉ được hoàn 50% số tiền."
30,Làm sao để hủy wishlist (Danh sách chờ) ?,"Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Wishlist Course => Chọn: Hủy Wishlist  Lưu ý: Khi hủy wishlist, sinh viên sẽ được hoàn 50% số tiền về tài khoản FAP"
31,Sinh viên có phải làm đơn đăng ký thi lại nếu thi trượt lần 1 không?,"Không, sinh viên thi trượt lần 1 sẽ được tự động xếp danh sách thi lần 2."
32,Thủ tục đăng ký thi cải thiện điểm?,- Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đăng ký thi cải thiện điểm  - Thời hạn đăng ký: Trước lịch thi lần 2 ít nhất nửa ngày  - Sinh viên bắt buộc phải lấy kết quả thi lần 2.
33,Hình phạt khi bị đình chỉ thi do vi phạm quy chế?,- Bị hủy kết quả bài thi  - Phải đăng ký học lại với mức học phí học lại bằng 2 lần so với mức học phí mà sinh viên không vi phạm quy chế phải nộp
34,Sinh viên không thi lần 1 có được xếp lịch thi lần 2 ?,"Có, sinh viên không thi lần 1 sẽ được tự động xếp lịch thi lần 2"
35,"Sinh viên phải làm gì khi thắc mắc, khiếu nại về điểm?","Khi có thắc mắc, khiếu nại về điểm đánh giá (bao gồm cả điểm thành phần và điểm thi cuối kỳ) sinh viên cần làm đơn phúc tra để được xem xét."
36,Cách thức làm đơn phúc tra ?,"- Bước 1: Sinh viên cần có đủ số dư trong tài khoản FAP là 200,000đ (lệ phí phúc tra)  - Bước 2: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị phúc tra"
37,Sinh viên bỏ thi lần 2 có được lấy điểm thi lần 1?,"- Sinh viên thi lần một fail, nếu không thi lần hai sẽ được ghi nhận điểm lần một  - Sinh viên đăng ký thi cải thiện, nếu bỏ thi sẽ bị ghi nhận kết quả điểm lần hai là 0 điểm"
38,Sinh viên không có thẻ sinh viên có được vào phòng thi?,Sinh viên bị mất thẻ sinh viên có thể sử dụng CMTND hoặc thẻ CCCD hoặc thẻ tạm để sử dụng khi vào phòng thi.
39,Sinh viên làm cách nào để xem điều kiện pass môn của các môn học?,"Sinh viên có thể xem điều kiện pass môn, tỉ trọng điểm thành phần môn học và tất cả những vấn đề liên quan tới môn học tại Syllabus (đề cương môn học).  Cách thức: Đăng nhập: https://flm.fpt.edu.vn bằng email fpt => View syllabus => Nhập mã môn."
40,Cách sử dụng tài khoản Coursera?,"Nếu sinh viên được xếp lịch học môn Coursera trong kỳ thì sẽ được cấp tài khoản vào khoảng tuần thứ 2 của học kỳ. Nhà trường sẽ gửi thư mời tham gia khóa học Coursera thông qua email fpt của sinh viên. Sinh viên sẽ đăng nhập thông qua thư mời để enroll vào khóa học bắt buộc. Mỗi lần được cấp tài khoản, ngoài các khóa học bắt buộc, sinh viên có thể học không giới hạn tất cả các khóa học trên Coursera. Thời hạn đóng mở tài khoản và enroll vào các khóa học bắt buộc sẽ theo thông báo của phòng Đào tạo, tuy nhiên thông thường tài khoản chỉ được active đến khi kết thúc học kỳ."
41,Sinh viên học cùng lúc nhiều môn Coursera thì được cấp bao nhiêu tài khoản?,"Sinh viên sử dụng 1 tài khoản duy nhất để học nhiều môn Coursera theo hình thức sinh viên chủ động đăng ký hoặc tự học. Sau khi join vào khóa học thông qua thư mời, sinh viên sẽ enroll vào các khóa học bắt buộc của những môn đã đăng ký.  Lưu ý: Nếu sinh viên sử dụng tài khoản Coursera để học lại hoặc học trước các môn học coursera khác thì các môn này sẽ không được tính điểm bonus."
42,Sinh viên phải làm gì khi trượt môn Coursera?,"- Nếu sinh viên trượt môn do chưa hoàn thành các chứng chỉ bắt buộc: có thể đăng ký học lại như các môn học thông thường khác. Hoặc trong trường hợp học kỳ tiếp theo sinh viên tiếp tục được cấp tài khoản Coursera thì có thể sử dụng để tiếp tục hoàn thành các chứng chỉ còn thiếu, sau khi hoàn thành các chứng chỉ xong có thể nộp lại chứng chỉ và đăng ký thi lại thẩm định.  - Nếu sinh viên trượt môn do thi trượt kỳ thi thẩm định: Không cần đăng ký học lại mà chỉ cần đăng ký thi lại thẩm định. Lệ phí thi lại thẩm định: theo quy định tài chính (1,150,000đ). Tuy nhiên khi đăng ký thi lại thẩm định thi sẽ không được tính điểm bonus."
43,Cách thức đăng ký thi thẩm định các môn Coursera?,"Áp dụng cho các trường hợp đã có chứng chỉ nhưng chưa pass kỳ thi thẩm định:  - Bước 1: Cần có đủ số dư trong tài khoản FAP tương đương với lệ phí thi thẩm định (1,150,000đ)  - Bước 2: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn loại đơn => Đăng ký thi thẩm định các môn online. Mỗi lần đăng ký thi thẩm định, sinh viên có tối đa 2 lần thi."
44,Sinh viên có thể sử dụng tài khoản Coursera được cấp để học các môn chưa pass do chưa lấy được chứng chỉ?,"Được. Sinh viên có thể sử dụng tài khoản Coursera được cấp để học các môn chưa lấy được chứng chỉ, sau khi đã hoàn thành hết các chứng chỉ, sinh viên sẽ làm thủ tục đăng ký thi thẩm định để được xếp lịch thi."
45,Làm sao khi bị gắn cờ đạo văn?,"Sinh viên bị gắn cờ đạo văn sẽ bị hủy kết quả và khóa khóa học vĩnh viễn trên tài khoản của mình. Trong trường hợp nếu cảm thấy kết luận không thỏa đáng, sinh viên có thể liên hệ với bộ phận hỗ trợ của Coursera để gửi bằng chứng về việc mình làm bài hoàn toàn trung thực. Hoặc nếu là lần đầu mắc lỗi có thể xin Coursera cho thêm 1 cơ hội để được re-submit bài làm của mình và đợi kết luận cuối cùng từ phía Coursera. Trong trường hợp kết luận không thay đổi sinh viên có 2 cách xử lý:  - Cách 1: tự mua tài khoản Coursera để học lại ngay môn này và kịp thi thẩm định vào cuối học kỳ.  - Cách 2: Đăng ký học lại vào kỳ tiếp theo. Khi đăng ký học lại môn Cousera bị đạo văn thì sinh viên cần phải khai báo 1 tài khoản email cá nhân khác (Email này không được liên kết với email fpt hoặc tài khoản Couresra cũ) để Nhà trường cấp tài khoản mới thì mới có thể sử dụng để học lại môn này."
46,Tài khoản Coursera báo hết hạn mặc dù trong kỳ vẫn có môn Coursera được xếp lịch học?,"Sinh viên cần logout khỏi tài khoản Coursera hiện tại, sau đó truy cập vào hòm mail fpt và tìm đến email thư mời tham gia khóa học được gửi đến trong học kỳ => Join vào khóa học thông qua thư mời này để kích hoạt tài khoản trong học kỳ mới."
47,Làm gì khi gặp phải các vấn đề liên quan đến lỗi hệ thống Coursera?,"Trong quá trình học Coursera, nếu gặp phải các lỗi như: khóa học bị khóa bất thường, không được cấp chứng chỉ sau khi đã hoàn thành...Sinh viên vui lòng liên hệ trực tiếp với bộ phận Help Center của Coursera để được hỗ trợ: https://learner.coursera.help/hc/en-us"
48,Sinh viên được sử dụng email fpt đến thời điểm nào?," Email fpt sẽ được active trong suốt quá trình sinh viên học tập tại Đại học FPT, và sẽ bị cắt sau khi sinh viên Tốt nghiệp 4 tháng."
49,Cách reset mật khẩu wifi?,Sinh viên có thể tự reset mật khẩu wifi qua link: https://chgpwd.fpt.edu.vn
50,"Tiêu chí xét khen thưởng cuối học kỳ các hạng mục khen thưởng liên quan đến học tập (sinh viên giỏi, xuất sắc, Cóc vàng)?","- Sinh viên có kết quả đạt ở lần học đầu tiên tất cả các học phần của học kỳ tương ứng theo khung chương trình. Điểm tổng kết trung bình chung của kỳ đạt từ 8,0 trở lên. - Không xét với các sinh viên trong giai đoạn Tiếng Anh dự bị và OJT  *Đối với hạng mục Cóc vàng: sinh viên cần có điểm phong trào đạt từ 80 trở lên."
51,Các môn học trong Block 5 có được tính vào điểm xét khen thưởng?,"Được, nếu đó là môn học đi theo đúng khung chương trình học được phân bổ trong kỳ. Nếu là môn học vượt kỳ thì sẽ được tính vào điểm xét tôn vinh cho kỳ tiếp theo."
52,Các môn học cải thiện có được tính vào điểm xét khen thưởng ?,Không
53,Các môn học của kỳ hiện tại nhưng đã được xếp lịch học trong kỳ trước đó (do kỳ trước học vượt kỳ hoặc Nhà trường tự xếp lớp) thì có được tính vào điểm xét khen thưởng không?,Có
54,Sinh viên chuyển ngành có bị mất học bổng?,- Sinh viên chuyển ngành cùng khối được giữ nguyên học bổng  - Sinh viên chuyển ngành khác khối sẽ mất học bổng (ví dụ: chuyển từ Công nghệ thông tin sang Quản trị kinh doanh hoặc Ngôn ngữ sẽ bị mất học bổng).
55,Sinh viên chuyển cơ sở có bị mất học bổng?,Sinh viên chuyển các cơ sở trong cùng hệ Đại học chính quy được giữ nguyên học bổng.
56,Sinh viên thuộc diện học bổng khi chuyển ngành có phải nộp phí thừa môn?,Sinh viên diện học bổng nếu chuyển ngành sẽ phải nộp phí thừa môn theo quy định.
57,Sinh viên bảo lưu môn có được hoàn tiền?,"Sinh viên bảo lưu môn không được hoàn lại tiền, mà các môn bảo lưu này sau này sinh viên sẽ chủ động đăng ký dưới diện môn học đi chậm kỳ và không phải nộp lại phí."
58,Chính sách ưu đãi khi sinh viên đăng ký học lại sớm là gì?,"Sinh viên đăng ký học lại ngay trong kỳ hoặc trong học kỳ tiếp theo sẽ được hưởng mức ưu đãi học phí học lại bằng 50% biểu phí môn. Trong trường hợp khi đăng ký đã full lớp hoặc đăng ký đúng thời hạn nhưng Nhà trường không mở lớp, sinh viên có thể đăng ký vào wishlist để được giữ chính sách ưu đãi."
59,"Nếu sinh viên đã đăng ký học lại ngay trong kỳ tiếp theo, nhưng khi đó Nhà trường không mở lớp thì lần đăng ký lớp tiếp theo sinh viên có được hưởng ưu đãi 50% học phí học lại không?",Sinh viên được hưởng chính sách ưu đãi nếu đăng ký vào wishlist/danh sách chờ trước khi bắt đầu block 5 của học kỳ tiếp theo (tính từ khi trượt môn)
60,Sinh viên có thể rút tiền còn dư trong tài khoản FAP?,"Sinh viên có thể làm thủ tục để rút tiền trong tài khoản FAP, cách thức như sau: Đăng nhập FAP => Thủ tục/Đơn từ => Gửi đơn => Chọn loại đơn => Đề nghị rút tiền và làm theo hướng dẫn gửi đơn. Thời hạn xử lý đơn rút tiền: 2 tuần kể từ ngày nộp đơn."
61,Thời gian đóng mở cửa Ký túc xá?,Thời gian mở cửa:5h00  Thời gian đóng cửa: 22h30
62,Thời gian đóng mở cổng trường?,Thời gian mở cổng: 5h00  Thời gian đóng cổng: 22h00
63,Sinh viên có được hủy phòng giữa kỳ?,"Sinh viên được hủy phòng giữa kỳ, tuy nhiên sẽ không được hoàn tiền Ký túc xá."
