Topic,Context
Thời hạn tối đa để hoàn thành chương trình học Đại học?,"Sinh viên có tối đa 6 năm kể từ thời điểm bắt đầu học kỳ 1 chuyên ngành để hoàn thành chương trình học Đại học. Nếu quá thời hạn trên, sinh viên sẽ bị cho thôi học."
Sinh viên có được cùng lúc học song song 2 chuyên ngành?	,"Sinh viên được học song song 2 chuyên ngành. Thời hạn đăng ký: Muộn nhất trước khi học kỳ mới bắt đầu 3 tuần Cách thức đăng ký: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Các loại đơn khác => Trình bày nguyện vọng => Send

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 1 tuần đến 10 ngày."
	Sinh viên được chuyển từ học Võ sang học Cờ trong trường hợp nào?,"Học phần Giáo dục thể chất bắt buộc của Đại học FPT là Vovinam, nếu sinh viên có các vấn đề về sức khỏe và có khuyến các của bác sĩ về việc hạn chế vận động thì có thể làm đơn để được Nhà trường xem xét chuyển sang học Cờ

Thời hạn để làm đơn: Muộn nhất trước khi học kỳ mới bắt đầu 1 tuần

Các thức như sau: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị chuyển từ học Võ sang học Cờ => Trình bày nguyện vọng và Đính kèm hồ sơ bệnh án của bệnh viện => Send

Sau khi gửi đơn, sinh viên sẽ theo dõi tại mục ""Xem đơn"" để nhận phản hồi của bộ phận xử lý trong vòng 2 ngày làm việc."
Thời gian nhận bằng Tốt nghiệp ?,Sinh viên được nhận bằng Tốt nghiệp sau 30 ngày kể từ thời điểm có quyết định công nhận Tốt nghiệp. Sinh viên sẽ nhận bằng trực tiếp tại Trường (theo hướng dẫn trong thông báo nhận bằng).
Nhà trường có cấp giấy xác nhận tốt nghiệp tạm thời?,"Trong thời gian đợi cấp bằng Tốt nghiệp, Nhà trường không cấp giấy xác nhận tốt nghiệp tạm thời mà chỉ cấp giấy xác nhận tình trạng đã hoàn thành chương trình học (cho những sinh viên có nhu cầu), thủ tục giống như đối với đề nghị Xác nhận sinh viên (trong phần mục đích nêu rõ xin xác nhận đã hoàn thành chương trình học)."
Wishlist là gì?,"Wishlist là danh sách chờ, khi sinh viên đăng ký học lại nhưng lớp đã full hoặc không mở lớp trong kỳ thì hệ thống sẽ gợi ý sinh viên có thể đăng ký vào danh sách chờ để được ưu tiên xếp lớp trong lần mở lớp tiếp theo. Đồng thời khi đăng ký vào wishlist sinh viên sẽ được áp dụng mức phí học lại theo quy định tài chính tại thời điểm đăng ký.

Sau khi đã đăng ký wishlish, nếu vì lý do cá nhân sinh viên muốn hủy đăng ký sẽ chỉ được hoàn 50% số tiền."
Làm sao để hủy wishlist (Danh sách chờ) ?,"Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Wishlist Course => Chọn: Hủy Wishlist

Lưu ý: Khi hủy wishlist, sinh viên sẽ được hoàn 50% số tiền về tài khoản FAP"
	Sinh viên có phải làm đơn đăng ký thi lại nếu thi trượt lần 1 không?,"Không, sinh viên thi trượt lần 1 sẽ được tự động xếp danh sách thi lần 2."
Thủ tục đăng ký thi cải thiện điểm?,"- Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đăng ký thi cải thiện điểm

- Thời hạn đăng ký: Trước lịch thi lần 2 ít nhất nửa ngày

- Sinh viên bắt buộc phải lấy kết quả thi lần 2."
Hình phạt khi bị đình chỉ thi do vi phạm quy chế?,"- Bị hủy kết quả bài thi

- Phải đăng ký học lại với mức học phí học lại bằng 2 lần so với mức học phí mà sinh viên không vi phạm quy chế phải nộp"
Sinh viên không thi lần 1 có được xếp lịch thi lần 2 ?,"Có, sinh viên không thi lần 1 sẽ được tự động xếp lịch thi lần 2"
"Sinh viên phải làm gì khi thắc mắc, khiếu nại về điểm?","Khi có thắc mắc, khiếu nại về điểm đánh giá (bao gồm cả điểm thành phần và điểm thi cuối kỳ) sinh viên cần làm đơn phúc tra để được xem xét."
Cách thức làm đơn phúc tra ?,"- Bước 1: Sinh viên cần có đủ số dư trong tài khoản FAP là 200,000đ (lệ phí phúc tra)

- Bước 2: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn: Đề nghị phúc tra"
Sinh viên bỏ thi lần 2 có được lấy điểm thi lần 1?,"- Sinh viên thi lần một fail, nếu không thi lần hai sẽ được ghi nhận điểm lần một

- Sinh viên đăng ký thi cải thiện, nếu bỏ thi sẽ bị ghi nhận kết quả điểm lần hai là 0 điểm"
Sinh viên không có thẻ sinh viên có được vào phòng thi?,Sinh viên bị mất thẻ sinh viên có thể sử dụng CMTND hoặc thẻ CCCD hoặc thẻ tạm để sử dụng khi vào phòng thi.
Sinh viên làm cách nào để xem điều kiện pass môn của các môn học?,"Sinh viên có thể xem điều kiện pass môn, tỉ trọng điểm thành phần môn học và tất cả những vấn đề liên quan tới môn học tại Syllabus (đề cương môn học).

Cách thức: Đăng nhập: https://flm.fpt.edu.vn bằng email fpt => View syllabus => Nhập mã môn."
Cách sử dụng tài khoản Coursera?,"Nếu sinh viên được xếp lịch học môn Coursera trong kỳ thì sẽ được cấp tài khoản vào khoảng tuần thứ 2 của học kỳ. Nhà trường sẽ gửi thư mời tham gia khóa học Coursera thông qua email fpt của sinh viên. Sinh viên sẽ đăng nhập thông qua thư mời để enroll vào khóa học bắt buộc. Mỗi lần được cấp tài khoản, ngoài các khóa học bắt buộc, sinh viên có thể học không giới hạn tất cả các khóa học trên Coursera. Thời hạn đóng mở tài khoản và enroll vào các khóa học bắt buộc sẽ theo thông báo của phòng Đào tạo, tuy nhiên thông thường tài khoản chỉ được active đến khi kết thúc học kỳ."
Sinh viên học cùng lúc nhiều môn Coursera thì được cấp bao nhiêu tài khoản?,"Sinh viên sử dụng 1 tài khoản duy nhất để học nhiều môn Coursera theo hình thức sinh viên chủ động đăng ký hoặc tự học. Sau khi join vào khóa học thông qua thư mời, sinh viên sẽ enroll vào các khóa học bắt buộc của những môn đã đăng ký.

Lưu ý: Nếu sinh viên sử dụng tài khoản Coursera để học lại hoặc học trước các môn học coursera khác thì các môn này sẽ không được tính điểm bonus."
Sinh viên phải làm gì khi trượt môn Coursera?,"- Nếu sinh viên trượt môn do chưa hoàn thành các chứng chỉ bắt buộc: có thể đăng ký học lại như các môn học thông thường khác. Hoặc trong trường hợp học kỳ tiếp theo sinh viên tiếp tục được cấp tài khoản Coursera thì có thể sử dụng để tiếp tục hoàn thành các chứng chỉ còn thiếu, sau khi hoàn thành các chứng chỉ xong có thể nộp lại chứng chỉ và đăng ký thi lại thẩm định.

- Nếu sinh viên trượt môn do thi trượt kỳ thi thẩm định: Không cần đăng ký học lại mà chỉ cần đăng ký thi lại thẩm định. Lệ phí thi lại thẩm định: theo quy định tài chính (1,150,000đ). Tuy nhiên khi đăng ký thi lại thẩm định thi sẽ không được tính điểm bonus."
Cách thức đăng ký thi thẩm định các môn Coursera?,"Áp dụng cho các trường hợp đã có chứng chỉ nhưng chưa pass kỳ thi thẩm định:

- Bước 1: Cần có đủ số dư trong tài khoản FAP tương đương với lệ phí thi thẩm định (1,150,000đ)

- Bước 2: Đăng nhập fap.fpt.edu.vn => Thủ tục/Đơn từ => Gửi đơn => Chọn loại đơn => Đăng ký thi thẩm định các môn online. Mỗi lần đăng ký thi thẩm định, sinh viên có tối đa 2 lần thi."
Sinh viên có thể sử dụng tài khoản Coursera được cấp để học các môn chưa pass do chưa lấy được chứng chỉ?,"Được. Sinh viên có thể sử dụng tài khoản Coursera được cấp để học các môn chưa lấy được chứng chỉ, sau khi đã hoàn thành hết các chứng chỉ, sinh viên sẽ làm thủ tục đăng ký thi thẩm định để được xếp lịch thi."
Làm sao khi bị gắn cờ đạo văn?,"Sinh viên bị gắn cờ đạo văn sẽ bị hủy kết quả và khóa khóa học vĩnh viễn trên tài khoản của mình. Trong trường hợp nếu cảm thấy kết luận không thỏa đáng, sinh viên có thể liên hệ với bộ phận hỗ trợ của Coursera để gửi bằng chứng về việc mình làm bài hoàn toàn trung thực. Hoặc nếu là lần đầu mắc lỗi có thể xin Coursera cho thêm 1 cơ hội để được re-submit bài làm của mình và đợi kết luận cuối cùng từ phía Coursera. Trong trường hợp kết luận không thay đổi sinh viên có 2 cách xử lý:

- Cách 1: tự mua tài khoản Coursera để học lại ngay môn này và kịp thi thẩm định vào cuối học kỳ.

- Cách 2: Đăng ký học lại vào kỳ tiếp theo. Khi đăng ký học lại môn Cousera bị đạo văn thì sinh viên cần phải khai báo 1 tài khoản email cá nhân khác (Email này không được liên kết với email fpt hoặc tài khoản Couresra cũ) để Nhà trường cấp tài khoản mới thì mới có thể sử dụng để học lại môn này."
Tài khoản Coursera báo hết hạn mặc dù trong kỳ vẫn có môn Coursera được xếp lịch học?,"Sinh viên cần logout khỏi tài khoản Coursera hiện tại, sau đó truy cập vào hòm mail fpt và tìm đến email thư mời tham gia khóa học được gửi đến trong học kỳ => Join vào khóa học thông qua thư mời này để kích hoạt tài khoản trong học kỳ mới."
	Làm gì khi gặp phải các vấn đề liên quan đến lỗi hệ thống Coursera?,"Trong quá trình học Coursera, nếu gặp phải các lỗi như: khóa học bị khóa bất thường, không được cấp chứng chỉ sau khi đã hoàn thành...Sinh viên vui lòng liên hệ trực tiếp với bộ phận Help Center của Coursera để được hỗ trợ: https://learner.coursera.help/hc/en-us"
Sinh viên được sử dụng email fpt đến thời điểm nào?," Email fpt sẽ được active trong suốt quá trình sinh viên học tập tại Đại học FPT, và sẽ bị cắt sau khi sinh viên Tốt nghiệp 4 tháng."
Cách reset mật khẩu wifi?,Sinh viên có thể tự reset mật khẩu wifi qua link: https://chgpwd.fpt.edu.vn
"Tiêu chí xét khen thưởng cuối học kỳ các hạng mục khen thưởng liên quan đến học tập (sinh viên giỏi, xuất sắc, Cóc vàng)?","- Sinh viên có kết quả đạt ở lần học đầu tiên tất cả các học phần của học kỳ tương ứng theo khung chương trình. Điểm tổng kết trung bình chung của kỳ đạt từ 8,0 trở lên. - Không xét với các sinh viên trong giai đoạn Tiếng Anh dự bị và OJT

*Đối với hạng mục Cóc vàng: sinh viên cần có điểm phong trào đạt từ 80 trở lên."
Các môn học trong Block 5 có được tính vào điểm xét khen thưởng?,"Được, nếu đó là môn học đi theo đúng khung chương trình học được phân bổ trong kỳ. Nếu là môn học vượt kỳ thì sẽ được tính vào điểm xét tôn vinh cho kỳ tiếp theo."
Các môn học cải thiện có được tính vào điểm xét khen thưởng ?,Không
Các môn học của kỳ hiện tại nhưng đã được xếp lịch học trong kỳ trước đó (do kỳ trước học vượt kỳ hoặc Nhà trường tự xếp lớp) thì có được tính vào điểm xét khen thưởng không?,Có
	Sinh viên chuyển ngành có bị mất học bổng?,"- Sinh viên chuyển ngành cùng khối được giữ nguyên học bổng

- Sinh viên chuyển ngành khác khối sẽ mất học bổng (ví dụ: chuyển từ Công nghệ thông tin sang Quản trị kinh doanh hoặc Ngôn ngữ sẽ bị mất học bổng)."
Sinh viên chuyển cơ sở có bị mất học bổng?,Sinh viên chuyển các cơ sở trong cùng hệ Đại học chính quy được giữ nguyên học bổng.
Sinh viên thuộc diện học bổng khi chuyển ngành có phải nộp phí thừa môn?,Sinh viên diện học bổng nếu chuyển ngành sẽ phải nộp phí thừa môn theo quy định.
Sinh viên bảo lưu môn có được hoàn tiền?,"Sinh viên bảo lưu môn không được hoàn lại tiền, mà các môn bảo lưu này sau này sinh viên sẽ chủ động đăng ký dưới diện môn học đi chậm kỳ và không phải nộp lại phí."
Chính sách ưu đãi khi sinh viên đăng ký học lại sớm là gì?,"Sinh viên đăng ký học lại ngay trong kỳ hoặc trong học kỳ tiếp theo sẽ được hưởng mức ưu đãi học phí học lại bằng 50% biểu phí môn. Trong trường hợp khi đăng ký đã full lớp hoặc đăng ký đúng thời hạn nhưng Nhà trường không mở lớp, sinh viên có thể đăng ký vào wishlist để được giữ chính sách ưu đãi."
"Nếu sinh viên đã đăng ký học lại ngay trong kỳ tiếp theo, nhưng khi đó Nhà trường không mở lớp thì lần đăng ký lớp tiếp theo sinh viên có được hưởng ưu đãi 50% học phí học lại không?",Sinh viên được hưởng chính sách ưu đãi nếu đăng ký vào wishlist/danh sách chờ trước khi bắt đầu block 5 của học kỳ tiếp theo (tính từ khi trượt môn)
Sinh viên có thể rút tiền còn dư trong tài khoản FAP?,"Sinh viên có thể làm thủ tục để rút tiền trong tài khoản FAP, cách thức như sau: Đăng nhập FAP => Thủ tục/Đơn từ => Gửi đơn => Chọn loại đơn => Đề nghị rút tiền và làm theo hướng dẫn gửi đơn. Thời hạn xử lý đơn rút tiền: 2 tuần kể từ ngày nộp đơn."
Thời gian đóng mở cửa Ký túc xá?,"Thời gian mở cửa:5h00

Thời gian đóng cửa: 22h30"
Thời gian đóng mở cổng trường?,"Thời gian mở cổng: 5h00

Thời gian đóng cổng: 22h00"
Sinh viên có được hủy phòng giữa kỳ?,"Sinh viên được hủy phòng giữa kỳ, tuy nhiên sẽ không được hoàn tiền Ký túc xá."
Sinh viên có được phép tự ý chuyển giao/đổi chỗ ở phòng Ký túc xá cho sinh viên khác?,"Không, nếu sinh viên muốn đổi phòng cần được sự đồng ý của bộ phận Quản lý Ký túc xá. Sinh viên không có nhu cầu ở Ký túc xá phải làm thủ tục check out để bộ phận Quản lý Ký túc cho cho sinh viên khác đăng ký check in theo đúng quy định."
